population_size,tournament_size,mutation_rate,lap,value,weight,fitness,convergence_gen,runing_duration
10,7,1,4,4196.0,283.6,1421.957,1424,0.03972125053405762
10,7,2,0,3767.0,280.8,1318.5837,470,0.01398921012878418
10,7,2,1,4008.0,284.6,1379.5126,1188,0.03544497489929199
10,7,2,2,4196.0,284.9,1415.4062,1398,0.0417017936706543
10,7,2,3,4080.0,283.2,1394.0671,950,0.02816295623779297
10,7,2,4,4173.0,284.9,1415.9475,1244,0.0370640754699707
10,9,1,0,4371.0,285.0,1445.8324,2124,0.0606231689453125
10,9,1,1,4252.0,280.6,1432.3538,1792,0.05110621452331543
10,9,1,2,4202.0,282.7,1423.0975,1450,0.04183602333068848
10,9,1,3,4268.0,283.6,1437.314,2112,0.06046319007873535
10,9,1,4,4304.0,284.4,1440.7223,2150,0.06149792671203613
10,9,2,0,4280.0,283.8,1425.2789,1578,0.047946929931640625
10,9,2,1,4155.0,283.6,1398.3823,996,0.030144929885864258
10,9,2,2,4249.0,282.6,1417.1785,1318,0.040116071701049805
10,9,2,3,4197.0,282.5,1417.9567,850,0.025640249252319336
10,9,2,4,4091.0,279.0,1409.1235,1114,0.03392291069030762
20,2,1,0,3735.0,283.1,1309.4988,1254,0.03477811813354492
20,2,1,1,2997.0,257.0,955.8599,222,0.006045103073120117
20,2,1,2,3571.0,280.8,1217.8787,1014,0.027948856353759766
20,2,1,3,3763.0,281.9,1323.5349,1588,0.0439910888671875
20,2,1,4,3875.0,283.9,1343.1775,1494,0.04141998291015625
20,2,2,0,3886.0,280.0,1380.5676,1590,0.0472261905670166
20,2,2,1,3810.0,283.4,1271.0062,986,0.029272079467773438
20,2,2,2,3879.0,273.1,1334.5315,1080,0.03196215629577637
20,2,2,3,3602.0,278.1,1284.3796,910,0.026800155639648438
20,2,2,4,3546.0,264.4,1203.5423,730,0.02152419090270996
20,2,3,0,3692.0,282.3,1228.809,764,0.023730993270874023
20,2,3,1,3718.0,283.1,1325.1525,1226,0.038436174392700195
20,2,3,2,3859.0,278.9,1299.5345,1066,0.033251047134399414
20,2,3,3,3701.0,277.2,1322.9688,1156,0.0361628532409668
20,2,3,4,3772.0,284.2,1304.3341,958,0.02978992462158203
20,2,4,0,3759.0,283.5,1293.7089,880,0.02908182144165039
20,2,4,1,3778.0,273.8,1312.2382,1132,0.037690162658691406
20,2,4,2,3971.0,283.3,1358.8875,1760,0.05882382392883301
20,2,4,3,3853.0,279.1,1357.1749,1386,0.04625201225280762
20,2,4,4,3860.0,284.6,1316.2197,798,0.02633500099182129
20,2,5,0,3775.0,280.2,1308.6771,1280,0.044817209243774414
20,2,5,1,3843.0,269.8,1314.4122,1148,0.04016423225402832
20,2,5,2,3679.0,283.6,1172.043,506,0.017440080642700195
20,2,5,3,3777.0,282.3,1326.5096,1404,0.04915118217468262
20,2,5,4,3881.0,279.5,1350.627,1894,0.06636500358581543
20,5,1,0,3902.0,278.1,1359.3788,1454,0.040348052978515625
20,5,1,1,3957.0,284.7,1378.8453,1378,0.03837013244628906
20,5,1,2,3692.0,278.2,1259.6431,612,0.016721725463867188
20,5,1,3,4191.0,283.6,1412.4817,2376,0.06610703468322754
20,5,1,4,3860.0,283.2,1362.1982,858,0.023478031158447266
20,5,2,0,3966.0,280.3,1367.0774,1844,0.05474376678466797
20,5,2,1,4078.0,283.0,1387.7788,2194,0.06497406959533691
20,5,2,2,4109.0,280.0,1382.5216,1912,0.056707143783569336
20,5,2,3,4070.0,277.9,1388.1742,1646,0.04879188537597656
20,5,2,4,3733.0,283.2,1331.2867,926,0.02713298797607422
20,5,3,0,3919.0,278.5,1344.7382,798,0.024986982345581055
20,5,3,1,3970.0,280.7,1331.1216,780,0.02423691749572754
20,5,3,2,3899.0,278.3,1352.9983,1134,0.035633087158203125
20,5,3,3,4017.0,277.5,1387.7415,1608,0.05041098594665527
20,5,3,4,3972.0,284.0,1373.4535,1374,0.04310417175292969
20,5,4,0,3852.0,282.9,1314.0223,868,0.028595924377441406
20,5,4,1,3756.0,283.2,1299.3118,926,0.030753135681152344
20,5,4,2,3781.0,275.7,1318.0968,778,0.025573253631591797
20,5,4,3,3938.0,282.1,1353.34,1342,0.04459691047668457
20,5,4,4,4142.0,280.1,1398.5857,1706,0.05672097206115723
20,5,5,0,3856.0,283.5,1342.7573,1522,0.053200721740722656
20,5,5,1,3948.0,283.3,1351.8656,1538,0.05402803421020508
20,5,5,2,3994.0,282.0,1324.7266,1052,0.036692142486572266
20,5,5,3,3787.0,283.0,1278.5048,658,0.02299785614013672
20,5,5,4,3966.0,275.3,1347.4716,1204,0.042207956314086914
20,10,1,0,4249.0,284.0,1414.7767,2126,0.05921196937561035
20,10,1,1,4246.0,283.6,1421.2524,1536,0.04271078109741211
20,10,1,2,4301.0,281.8,1423.7135,2116,0.05913901329040527
20,10,1,3,4183.0,283.9,1418.2103,1806,0.0501399040222168
20,10,1,4,3809.0,277.4,1334.0317,844,0.02332782745361328
20,10,2,0,3955.0,283.9,1374.4258,1294,0.0385432243347168
20,10,2,1,3996.0,283.8,1378.7022,1754,0.052160024642944336
20,10,2,2,4072.0,284.5,1396.8023,2350,0.06997013092041016
20,10,2,3,3747.0,284.8,1332.72,1130,0.03330421447753906
20,10,2,4,4091.0,284.2,1387.8496,1380,0.040985107421875
20,10,3,0,3845.0,282.5,1342.6443,770,0.023993730545043945
20,10,3,1,4161.0,284.0,1364.5267,1316,0.04141402244567871
20,10,3,2,4036.0,281.6,1376.8023,1730,0.054647207260131836
20,10,3,3,3731.0,282.5,1325.2841,964,0.029996156692504883
20,10,3,4,3955.0,283.9,1381.2998,1338,0.04210305213928223
20,10,4,0,4026.0,273.2,1382.6985,1054,0.03477811813354492
20,10,4,1,3971.0,272.3,1361.8449,1014,0.03382396697998047
20,10,4,2,3928.0,269.8,1350.5726,882,0.029402971267700195
20,10,4,3,3989.0,281.8,1361.7292,926,0.030549049377441406
20,10,4,4,3970.0,284.0,1381.5244,1222,0.04063892364501953
20,10,5,0,3762.0,279.1,1322.9808,724,0.025161027908325195
20,10,5,1,3915.0,276.6,1335.6248,858,0.030157804489135742
20,10,5,2,3919.0,282.9,1332.2216,1166,0.04095602035522461
20,10,5,3,3903.0,284.2,1337.9898,648,0.022468090057373047
20,10,5,4,3613.0,283.2,1309.3001,384,0.013161897659301758
20,15,1,0,4051.0,281.1,1404.4167,1228,0.03437376022338867
20,15,1,1,3918.0,284.2,1327.8201,792,0.02214503288269043
20,15,1,2,4169.0,284.1,1418.9251,1712,0.04784107208251953
20,15,1,3,4145.0,284.1,1410.2784,1514,0.042220115661621094
20,15,1,4,4208.0,279.1,1421.6719,2388,0.06659293174743652
20,15,2,0,4138.0,284.9,1412.8228,1238,0.03672504425048828
20,15,2,1,3901.0,273.2,1381.4806,1382,0.04125499725341797
20,15,2,2,4182.0,283.7,1420.9928,1834,0.05474209785461426
20,15,2,3,4145.0,284.6,1413.5236,1394,0.04174304008483887
20,15,2,4,4190.0,276.1,1398.146,1428,0.04262900352478027
20,15,3,0,3812.0,276.5,1360.6841,966,0.030289888381958008
20,15,3,1,4022.0,278.0,1383.0444,1264,0.03995704650878906
20,15,3,2,3996.0,281.8,1374.2477,1184,0.037152767181396484
20,15,3,3,3844.0,284.9,1360.2865,1116,0.03512287139892578
20,15,3,4,3807.0,281.0,1316.5265,548,0.017219066619873047
20,15,4,0,4015.0,285.0,1375.6837,1304,0.04360198974609375
20,15,4,1,3945.0,273.5,1352.2451,938,0.031069040298461914
20,15,4,2,3899.0,271.5,1352.4649,970,0.03242611885070801
20,15,4,3,3901.0,276.6,1374.7864,1674,0.055854082107543945
20,15,4,4,3771.0,281.1,1335.5736,562,0.018426895141601562
20,15,5,0,3832.0,281.4,1315.0887,686,0.023992061614990234
20,15,5,1,4038.0,283.3,1373.0327,1306,0.04603910446166992
20,15,5,2,3920.0,276.8,1359.8333,1562,0.054930925369262695
20,15,5,3,3750.0,280.0,1308.9907,714,0.024908065795898438
20,15,5,4,3845.0,275.1,1341.0805,1204,0.04231095314025879
20,19,1,0,4167.0,285.0,1417.925,1774,0.05056881904602051
20,19,1,1,4113.0,280.2,1405.0676,1936,0.055291175842285156
20,19,1,2,3798.0,283.2,1340.9345,788,0.02225470542907715
20,19,1,3,4289.0,285.0,1439.3834,1582,0.045057058334350586
20,19,1,4,4284.0,281.9,1432.1823,1896,0.054085731506347656
20,19,2,0,4023.0,283.3,1391.1238,1204,0.03636813163757324
20,19,2,1,4144.0,284.1,1408.6278,1960,0.05971503257751465
20,19,2,2,4062.0,283.1,1402.3453,1538,0.046569108963012695
20,19,2,3,4049.0,284.9,1376.7914,1036,0.031215906143188477
20,19,2,4,4178.0,277.0,1419.1741,2302,0.06985306739807129
20,19,3,0,4099.0,281.3,1393.5587,1490,0.047962188720703125
20,19,3,1,4093.0,282.8,1394.1427,1006,0.0321199893951416
20,19,3,2,3884.0,275.9,1348.858,820,0.02628302574157715
20,19,3,3,4031.0,281.9,1383.8871,890,0.028328895568847656
20,19,3,4,3991.0,282.8,1386.111,1332,0.042849063873291016
20,19,4,0,3881.0,284.0,1330.6579,620,0.020725011825561523
20,19,4,1,3981.0,279.2,1384.5462,1416,0.04811429977416992
20,19,4,2,4015.0,278.3,1388.5754,1510,0.051290035247802734
20,19,4,3,3919.0,282.5,1352.6915,1030,0.03483009338378906
20,19,4,4,4064.0,278.8,1391.6655,1410,0.04805302619934082
20,19,5,0,3738.0,285.0,1308.8665,682,0.024107933044433594
20,19,5,1,3825.0,269.6,1360.427,1636,0.05861496925354004
20,19,5,2,4004.0,272.9,1375.1562,1266,0.04536128044128418
20,19,5,3,3971.0,271.4,1362.7985,1532,0.05521106719970703
20,19,5,4,3848.0,272.9,1330.6806,628,0.022333860397338867
30,2,1,0,3270.0,284.9,970.5601,528,0.01425313949584961
30,2,1,1,2997.0,257.0,955.8599,232,0.006036043167114258
30,2,1,2,3690.0,284.1,1227.1106,1296,0.03565382957458496
30,2,1,3,3630.0,281.9,1283.1153,1838,0.05075502395629883
30,2,1,4,3786.0,284.7,1259.6661,1264,0.03454780578613281
30,2,2,0,3760.0,283.6,1257.7061,1352,0.039872169494628906
30,2,2,1,3494.0,281.9,1222.8825,982,0.028738975524902344
30,2,2,2,3504.0,280.1,1169.4673,766,0.02228999137878418
30,2,2,3,3757.0,278.6,1265.1187,838,0.02425074577331543
30,2,2,4,3898.0,283.1,1339.8736,1676,0.04936504364013672
30,2,3,0,3367.0,273.5,1123.3988,540,0.016336917877197266
30,2,3,1,3667.0,278.9,1270.2883,1156,0.03626608848571777
30,2,3,2,3469.0,276.5,1182.5405,872,0.02691197395324707
30,2,3,3,3602.0,279.9,1273.3578,950,0.029564857482910156
30,2,3,4,3838.0,283.5,1310.3364,900,0.027605056762695312
